day;delta;algorithm;avg_M;max_M
2025-12-01;900;asp;1398.8217675509575;3603.5823245231327
2025-12-02;900;asp;1255.7989133352078;2911.360933398869
2025-12-03;900;asp;1293.0756640621473;2354.951835719996
2025-12-04;900;asp;1057.0553498195147;1800.8373544584322
2025-12-05;900;asp;1324.0548001200455;3321.3124363330776
2025-12-06;900;asp;541.261912876215;1300.5984788099584
2025-12-07;900;asp;494.21365773805246;1340.1703907416868
2025-12-08;900;asp;1178.3081930695714;3121.1499177608625
2025-12-09;900;asp;1223.636621533887;2172.9388588726406
2025-12-10;900;asp;1380.3625147472906;3043.9816947950217
2025-12-11;900;asp;1272.9021307299258;2096.346582005316
2025-12-12;900;asp;1137.369681170424;1814.397305185726
2025-12-13;900;asp;563.0170873196171;1514.4921383732408
2025-12-14;900;asp;738.958972185847;2096.093862295299
2025-12-15;900;asp;1146.5743134795762;2545.403835011999
2025-12-16;900;asp;1046.1456073508127;1861.0951604285963
2025-12-17;900;asp;1274.728247989139;3511.1080026184495
2025-12-18;900;asp;1113.7899018267167;2199.7535325010745
2025-12-19;900;asp;1112.6930402558298;1923.1757635831032
2025-12-20;900;asp;479.9758230047817;1244.1863467625692
2025-12-21;900;asp;354.3381478088207;1100.9290691418855
2025-12-22;900;asp;890.7693841291357;1598.6255497784257
2025-12-23;900;asp;1028.93754967295;1860.7722400849675
2025-12-24;900;asp;1107.9508521947696;2458.1149916088284
2025-12-25;900;asp;631.4632434295897;1245.3458296243628
2025-12-26;900;asp;881.3518105615435;1677.827780959274
2025-12-27;900;asp;657.7549746862998;1565.0045649132128
2025-12-28;900;asp;520.6212234440198;2288.5527497825233
2025-12-29;900;asp;1326.2620833992737;2336.882922645422
2025-12-30;900;asp;1284.1431056159772;2750.310970708536
2025-12-31;900;asp;1382.217105024019;2405.404223921891
2025-12-01;1500;ttv;108299.89698990335;206993.40445757884
2025-12-02;1500;ttv;82865.79145235455;124037.16903222747
2025-12-03;1500;ttv;119323.75992526488;169253.6389882608
2025-12-04;1500;ttv;93860.22291912934;143890.9268269452
2025-12-05;1500;ttv;95228.58466317371;166503.3566578098
2025-12-06;1500;ttv;56264.332374796926;102218.38852016872
2025-12-07;1500;ttv;30929.226081672907;73293.23060082155
2025-12-08;1500;ttv;32493.79627759085;60835.437255371944
2025-12-09;1500;ttv;35447.37311277872;87298.12829979979
2025-12-10;1500;ttv;40098.051247155185;88825.25983576012
2025-12-11;1500;ttv;44919.87801863298;81275.77565792983
2025-12-12;1500;ttv;45505.71693693566;102473.90844672054
2025-12-13;1500;ttv;35512.10186494692;55153.78243096637
2025-12-14;1500;ttv;46181.014507279375;98311.32892133869
2025-12-15;1500;ttv;70311.58695436272;105147.87417966478
2025-12-16;1500;ttv;63140.12220211983;91102.99427477489
2025-12-17;1500;ttv;74129.59964611389;167229.57674258875
2025-12-18;1500;ttv;71140.65707791722;126603.60462949229
2025-12-19;1500;ttv;63890.47686690654;96858.59643587189
2025-12-20;1500;ttv;29034.285580607637;54743.25960440932
2025-12-21;1500;ttv;30080.746242817248;56935.892002923305
2025-12-22;1500;ttv;49971.042488999985;75826.22203747567
2025-12-23;1500;ttv;37111.95659828112;47044.473667271974
2025-12-24;1500;ttv;39997.68403897928;49171.37687238595
2025-12-25;1500;ttv;35215.024914326335;45071.30187409675
2025-12-26;1500;ttv;41683.34078027993;58312.56362754325
2025-12-27;1500;ttv;30826.809478238672;42645.39172593363
2025-12-28;1500;ttv;42329.27503074619;58500.826934327786
2025-12-29;1500;ttv;64163.335324636915;98046.31098132103
2025-12-30;1500;ttv;46843.59147228551;65450.83078918373
2025-12-31;1500;ttv;42545.373362345206;51794.44349309122
2025-12-01;1500;defi;9747.0627069999;16522.672895251733
2025-12-02;1500;defi;8625.397809572385;13698.36824964974
2025-12-03;1500;defi;8569.933593116404;11788.078602920115
2025-12-04;1500;defi;7506.864518479129;9754.527703583637
2025-12-05;1500;defi;8521.271607624136;12049.322528042752
2025-12-06;1500;defi;3899.020652166137;10578.598900415356
2025-12-07;1500;defi;2876.513300007383;5291.179153404134
2025-12-08;1500;defi;7227.644626478655;12991.903644099166
2025-12-09;1500;defi;8412.634137431218;12888.008449334286
2025-12-10;1500;defi;7954.498177785705;11737.47036190947
2025-12-11;1500;defi;8631.707195018435;10221.763260571082
2025-12-12;1500;defi;7571.916350231805;10577.672102141762
2025-12-13;1500;defi;3759.560601355293;8762.942576415526
2025-12-14;1500;defi;3936.208771184776;6120.703649093861
2025-12-15;1500;defi;7364.443949418173;11467.793774234498
2025-12-16;1500;defi;7515.601664156599;9862.031379076883
2025-12-17;1500;defi;7226.67178000932;11232.932758454468
2025-12-18;1500;defi;7190.324786959505;9505.060669509607
2025-12-19;1500;defi;7446.15122430738;11257.667912926545
2025-12-20;1500;defi;3139.7370499975946;8431.586596930294
2025-12-21;1500;defi;2330.581425622566;4381.905335290152
2025-12-22;1500;defi;6098.561820406982;9167.005084882212
2025-12-23;1500;defi;7535.872040146547;11494.772408978179
2025-12-24;1500;defi;6906.356947428436;11918.08649040977
2025-12-25;1500;defi;3584.0600027715104;5828.854869579034
2025-12-26;1500;defi;5428.214808534122;7376.077405464247
2025-12-27;1500;defi;3126.8740434637307;6373.102891847405
2025-12-28;1500;defi;2958.9336626901445;7368.87813829426
2025-12-29;1500;defi;8724.887195032581;11127.742229653044
2025-12-30;1500;defi;8536.18817524371;14075.01004313693
2025-12-31;1500;defi;7962.482162425208;12315.219201340125
2025-12-01;1500;asp;2097.3250063502155;4121.199241782874
2025-12-02;1500;asp;1947.844470458725;3503.376177864328
2025-12-03;1500;asp;1918.0259618599653;3373.7431944997443
2025-12-04;1500;asp;1571.508278848944;2578.3060696317275
2025-12-05;1500;asp;1911.3290173593111;4280.321985933627
2025-12-06;1500;asp;935.5160361937023;3823.177190563434
2025-12-07;1500;asp;756.844813305366;1736.3057263144435
2025-12-08;1500;asp;1744.0569365437352;3641.1169190517253
2025-12-09;1500;asp;1812.7836480120777;2993.356972835769
2025-12-10;1500;asp;2030.9333829824764;3487.07969619649
2025-12-11;1500;asp;1924.7720446833505;3007.9792411321673
2025-12-12;1500;asp;1804.283873073346;2924.9680383414884
2025-12-13;1500;asp;870.2984226616705;2077.7664176314606
2025-12-14;1500;asp;1111.6838615442168;2333.60245222404
2025-12-15;1500;asp;1668.8144717427112;2825.20578651957
2025-12-16;1500;asp;1563.4392631134185;2555.003298616382
2025-12-17;1500;asp;1962.6098657934992;4241.638848528402
2025-12-18;1500;asp;1471.9129090427027;2406.7011519498656
2025-12-19;1500;asp;1636.7830716396431;2586.1532343048802
2025-12-20;1500;asp;772.5759003055377;2118.563990710646
2025-12-21;1500;asp;561.5595163635481;1337.3445782295346
2025-12-22;1500;asp;1285.5668860777043;2092.428643188294
2025-12-23;1500;asp;1473.297997720256;2916.533650970004
2025-12-24;1500;asp;1624.3223422073497;2845.957618991437
2025-12-25;1500;asp;985.9565002081288;1659.871776383771
2025-12-26;1500;asp;1320.3641479108503;1886.3456461331398
2025-12-27;1500;asp;1000.2672213597598;2272.9460649708267
2025-12-28;1500;asp;815.2114375684077;2637.888614514083
2025-12-29;1500;asp;1913.9786519154393;2765.58213724282
2025-12-30;1500;asp;1897.8224545901764;3719.4693859569647
2025-12-31;1500;asp;1999.3993050879615;3230.1677395092033
2025-12-01;2100;ttv;148533.63138042873;245584.86548949272
2025-12-02;2100;ttv;116230.0854075617;154970.00484938026
