day;delta;algorithm;avg_M;max_M
2025-05-08;64;ttv;711.407953631859;2073.1886253148377
2025-05-09;64;ttv;756.7521427406807;2287.7638171272215
2025-05-10;64;ttv;451.15306946025134;1489.926277984711
2025-05-11;64;ttv;524.654498874477;2132.9263346821863
2025-05-12;64;ttv;790.2821134509883;2796.51317572355
2025-05-13;64;ttv;906.9553264482875;6169.195079986313
2025-05-14;64;ttv;734.946716113563;3330.233328063775
2025-05-15;64;ttv;670.6989410130789;2563.1720130860194
2025-05-16;64;ttv;594.8198874664795;2978.3712755985093
2025-05-17;64;ttv;478.3975697305896;1927.7507604077332
2025-05-18;64;ttv;457.8068892388803;2257.0022494376535
2025-05-19;64;ttv;649.6029892214294;2163.968226952131
2025-05-20;64;ttv;656.2999516851677;3284.73592447143
2025-05-21;64;ttv;740.3753840484794;2952.2649185051873
2025-05-22;64;ttv;628.9729640105077;1760.6779314266219
2025-05-23;64;ttv;857.1248784138758;2677.088187738289
2025-05-24;64;ttv;407.48348438183507;1960.4858527476665
2025-05-25;64;ttv;403.407657086043;1942.7708086508383
2025-05-26;64;ttv;439.68933682111907;1772.9266348128285
2025-05-27;64;ttv;561.4439127684806;2004.2201891586608
2025-05-28;64;ttv;552.9621706210543;2650.9991824112312
2025-05-29;64;ttv;657.7168098021043;2933.287016768809
2025-05-30;64;ttv;603.3162925317463;2001.662968566565
2025-05-31;64;ttv;457.44840007464813;2812.9514597901148
2025-06-01;64;ttv;384.0422169315494;2652.125573231048
2025-06-02;64;ttv;493.6377921217069;1870.7998756405261
2025-06-03;64;ttv;548.4415083082122;2148.4851823424488
2025-06-04;64;ttv;493.6632120372665;2021.3485001009888
2025-06-05;64;ttv;543.3983515234611;2548.3072380487415
2025-06-06;64;ttv;621.9621648524288;4186.921518675303
2025-06-07;64;ttv;341.69192468862934;1310.755358497521
2025-06-08;64;ttv;326.60192258052484;1401.8878612831447
2025-06-09;64;ttv;624.8181151895411;2145.5349951952912
2025-06-10;64;ttv;773.0940384362202;4187.469258474147
2025-06-11;64;ttv;655.9043352723039;2684.8106088361005
2025-06-12;64;ttv;673.4855865774322;6691.000761260513
2025-06-13;64;ttv;762.23369057812;2980.5694034146613
2025-06-14;64;ttv;401.58530330017936;2698.957903376689
2025-06-15;64;ttv;403.09777967771305;1479.8276930855218
2025-06-16;64;ttv;608.0304890774381;2221.710592400198
2025-06-17;64;ttv;627.5467724190992;2298.182131607723
2025-06-18;64;ttv;649.7811953974291;2051.398070313834
2025-06-19;64;ttv;460.02992727211665;2249.735078677709
2025-06-20;64;ttv;751.5704327735791;2877.448120803432
2025-06-21;64;ttv;557.8959339402413;3059.198026103098
2025-06-22;64;ttv;706.5553519630826;3185.027719925053
2025-06-23;64;ttv;617.0630574468873;2125.397812724473
2025-06-24;64;ttv;583.1719887440955;2914.2206904630343
2025-06-25;64;ttv;453.50362771123565;2302.4067779506945
2025-06-26;64;ttv;576.3047901106536;3023.4862983356056
2025-06-27;64;ttv;474.3112446133913;2661.477098879658
2025-06-28;64;ttv;368.0216169853107;3228.1259587306727
2025-06-29;64;ttv;453.8595710231044;3058.986416353405
2025-06-30;64;ttv;499.4619627647733;2503.013873189101
2025-07-01;64;ttv;572.424144833413;2774.4499977622236
2025-07-02;64;ttv;628.3867364851641;2662.5116659507003
2025-07-03;64;ttv;582.6121914643707;2230.295209367077
2025-07-04;64;ttv;445.59886089054663;2448.6007989086334
2025-07-05;64;ttv;353.4252196697848;2484.978348557274
2025-07-06;64;ttv;388.1545097132944;2938.181845203687
2025-07-07;64;ttv;493.7579307846124;3979.424514633299
2025-07-08;64;ttv;479.06269771931244;2170.6828035982617
2025-07-09;64;ttv;647.1510628940466;2100.899720733076
2025-07-10;64;ttv;744.3897117561575;16338.79079329608
2025-07-11;64;ttv;869.1921814398612;16764.753970103873
2025-07-12;64;ttv;564.8670951341975;2621.869428812941
2025-07-13;64;ttv;467.85582423348137;2411.6361236667835
2025-07-14;64;ttv;828.7193522707837;2790.223970816505
2025-07-15;64;ttv;743.7132099975934;3592.654594437006
2025-07-16;64;ttv;816.6029964224515;4995.485383632614
2025-07-17;64;ttv;872.8490524755638;4560.118683659383
2025-07-18;64;ttv;975.6859373892913;3008.245173754366
2025-07-19;64;ttv;458.18369862084774;1501.1443100939443
2025-07-20;64;ttv;633.725910683228;4511.299443007437
2025-07-21;64;ttv;902.9873447228291;7424.862064517651
2025-07-22;64;ttv;798.6830706970441;1818.725111277059
2025-07-23;64;ttv;817.3376321459727;2399.1173791247897
2025-07-24;64;ttv;889.5379321263944;3291.2920170719985
2025-07-25;64;ttv;1188.5551095707694;3804.1117278628517
2025-07-26;64;ttv;592.8483340236339;2193.707748237642
2025-07-27;64;ttv;636.1743313285484;2215.4109751776523
2025-07-28;64;ttv;989.1969089288133;2588.853643537571
2025-07-29;64;ttv;901.3012426318462;2753.2502200397576
2025-07-30;64;ttv;727.0333254611297;2147.5343315895952
2025-07-31;64;ttv;766.3778995075075;2373.781340703733
2025-08-01;64;ttv;1054.4668519603028;3196.871893201736
2025-08-02;64;ttv;754.6432240233578;3563.4432267913985
2025-08-03;64;ttv;692.9168075324676;3159.0716689044193
2025-08-04;64;ttv;894.9638183202181;2727.2360723477077
2025-08-05;64;ttv;840.578310005888;3039.9896389145456
2025-08-06;64;ttv;960.1426793190242;4638.412903863719
2025-08-07;64;ttv;898.3282711432021;2793.4744058801125
2025-08-08;64;ttv;960.3395483832518;3764.8673297641362
2025-08-09;64;ttv;924.3641232890405;3023.106360757591
2025-08-10;64;ttv;792.2858694064478;3017.1418879123703
2025-08-11;64;ttv;1135.5900660830548;6919.797049647536
2025-08-12;64;ttv;1196.833684716035;4584.529135445146
2025-08-13;64;ttv;1423.0784145880002;7623.878945194339
2025-08-14;64;ttv;1440.085883415655;4048.1587501301847
2025-08-15;64;ttv;1252.4030030146625;3573.4259194607494
2025-08-16;64;ttv;951.4595430419001;6531.9281661321265
2025-08-17;64;ttv;1038.1045395755407;3542.4853160476155
2025-08-18;64;ttv;1439.5141996109633;5963.981225302482
2025-08-19;64;ttv;1336.1128379799127;3800.804465395118
2025-08-20;64;ttv;1189.871107942075;4443.753334637167
2025-08-21;64;ttv;1010.0160531514836;2591.975758280387
2025-08-22;64;ttv;1405.7662301600453;6025.292809739134
2025-08-23;64;ttv;1051.6838432725133;3068.4361793472603
2025-08-24;64;ttv;1504.22704811791;5606.422449601112
2025-08-25;64;ttv;2273.4797456299716;9080.960776547661
2025-08-26;64;ttv;1606.9376505732862;5476.1754380651255
2025-08-27;64;ttv;1526.919254389886;5502.37718704175
2025-08-28;64;ttv;1348.2642092134217;5361.17834811985
2025-08-29;64;ttv;1791.1791303386478;9991.142810762793
2025-08-30;64;ttv;1086.8093968840833;4221.337470027644
2025-08-31;64;ttv;1257.1900411773981;8658.410523940578
2025-09-01;64;ttv;1232.0444737699047;6762.467226434329
2025-09-02;64;ttv;1661.809766126659;9493.54069654191
2025-09-03;64;ttv;1121.0982334183986;4715.861709852425
2025-09-04;64;ttv;1156.5421120526519;4419.221735389224
2025-09-05;64;ttv;1146.7333533096887;3667.0352589825065
2025-09-06;64;ttv;747.1225759055648;3947.9772375377265
2025-09-07;64;ttv;831.1747468422348;4279.914816937089
2025-09-08;64;ttv;1099.5059863252598;3389.549629541623
2025-09-09;64;ttv;1018.0636468074995;3376.561644019229
2025-09-10;64;ttv;953.4858566691399;5045.817393430884
2025-09-11;64;ttv;1179.4841516558497;3240.1686970752926
2025-09-12;64;ttv;1243.1654962917535;4391.794356362846
2025-09-13;64;ttv;967.3375806534591;4365.6584381377415
2025-09-14;64;ttv;1129.5854406775516;4199.602631701167
2025-09-15;64;ttv;1180.760930585654;3753.191844256958
2025-09-16;64;ttv;886.6653870959226;5107.166378411155
2025-09-17;64;ttv;961.3014668660941;3663.9823085789567
2025-09-18;64;ttv;1034.0111627755152;4016.0124354537666
2025-09-19;64;ttv;903.434772705704;2711.2920625625343
2025-09-20;64;ttv;576.4642184933874;2459.0642631392852
2025-09-21;64;ttv;830.5246800240209;3985.262488696985
2025-09-22;64;ttv;1287.7932413821015;5065.652302491955
2025-09-23;64;ttv;1166.313982488893;3801.121584660069
2025-09-24;64;ttv;1443.4061836113565;5743.674729450992
2025-09-25;64;ttv;1889.9636962058676;7608.282610117199
2025-09-26;64;ttv;1400.6046701029566;4895.6916611988245
